"","Papers","Partners","Journals","Citations","Years"
"583","Recent Advances in Photorefractive Organic Materials","O Ostroverkhova, WE Moerner, Z Chen, M Asaro, M Sheldon, M He, ...","Photorefractive Effects, Materials, and Devices, 307, 2005","","2005"
"584","Gold bowtie nanoantennas: improving the mismatch between light and nanoscale objects","PJ Schuck, DP Fromm, WE Moerner, A Sundaramurthy, G Kino","2005 Quantum Electronics and Laser Science Conference 1, 96-98, 2005","","2005"
"585","MEASUREMENT OF NANOSTRUCTURES WITH MICROMACHINED MICROSCOPES","GS KINO, WE MOERNER","EL GINZTON LAB, STANFORD UNIVERSITY, 2005","","2005"
"586","Evidence for condensed complexes in the plasma membrane","SY Nishimura, M Vrljic, HM McConnell, WE Moerner","BIOPHYSICAL JOURNAL 88 (1), 75A-75A, 2005","","2005"
"587","High-resolution anatomy of a progressively pinching cell division distinct constrictive processes, separated in time and space, divide caulobacter inner and outer membranes …","JR MADDOCK, EM JUDD, LR COMOLLI, JC CHEN, KH DOWNING, ...","Journal of bacteriology 187 (20), 6874-6882, 2005","","2005"
"588","Surface physics, nanoscale physics, low-dimensional systems-Field enhancement and gap-dependent resonance in a system of two opposing tip-to-tip Au nanotriangles","A Sundaramurthy, KB Crozier, GS Kino, DP Fromm, PJ Schuck, ...","Physical Review-Section B-Condensed Matter 72 (16), 165409-165409, 2005","","2005"
"589","Single molecule sensors of local environment.","KA Willets, PR Callis, M He, H Wang, RJ Twieg, WE Moerner","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 228, U270-U270, 2004","","2004"
"590","Cholesterol depletion suppresses the translational diffusion of class II MHC proteins in the plasma membrane.","S Nishimura, M Vrljic, HM McConnell, WE Moerner","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 228, U292-U292, 2004","","2004"
"591","Visualizing single-molecule dynamics in cells.","WE Moerner","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 228, U300-U300, 2004","","2004"
"592","Two-photon fluorescence microscopy of single-molecule emitters based on nonlinear optical chromophores.","PJ Schuck, KA Willets, DP Fromm, RJ Twieg, WE Moerner","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 228, U270-U271, 2004","","2004"
"593","Spectral study of enhanced transmission through single C-shaped nano-apertures","JA Matteo, DP Fromm, Y Yuen, PJ Schuck, WE Moerner, L Hesselink","International Quantum Electronics Conference, IWA34, 2004","","2004"
"594","Soliton-induced waveguides in a photorefractive organic glass","M Asaro, M Sheldon, Z Chen, O Ostroverkhova, WE Moerner, M He, ...","Conference on Lasers and Electro-Optics, 2004.(CLEO). 1, 2 pp. vol. 1, 2004","","2004"
"595","Mechanisms of Photorefractivity in Polymeric Materials","JS Siegel, WE Moerner","CALIFORNIA UNIV SAN DIEGO LA JOLLA DEPT OF CHEMISTRY AND BIOCHEMISTRY, 2004","","2004"
"596","Semiconductor Lasers-Integrated Semiconductor Vertical-Cavity Surface-Emitting Lasers and PIN Photodetectors for Biomedical Fluorescence Sensing","E Thrush, O Levi, W Ha, G Carey, LJ Cook, J Deich, SJ Smith, ...","IEEE Journal of Quantum Electronics 40 (5), 491-498, 2004","","2004"
"597","Spectroscopic investigations into autofluorescent proteins from the ensemble to the single-molecule level","J Deich","Stanford University, 2004","","2004"
"598","Enhancement of the Blue Fluorescent Protein's","WE Moerner, SG Boxer","Ultrafast excited-state dynamics of chromophore-containing proteins, 13, 2004","","2004"
"599","Emerging frontiers in single-molecule fluorescence imaging","WE Moerner, M Vrljic, S Nishimura, HM McConnell, KA Willets, RJ Twieg","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 226, U284-U284, 2003","","2003"
"600","Cover Picture: Role of Temperature in Controlling Performance of Photorefractive Organic Glasses (ChemPhysChem 7/2003)","O Ostroverkhova, M He, RJ Twieg, WE Moerner","ChemPhysChem 4 (7), 653-653, 2003","","2003"
"601","Optically induced focusing-to-defocusing switching and self-trapping of light in a photorefractive organic glass","Z Chen, M Asaro, O Ostroverkhova, WE Moerner, M He, RJ Twieg","Photorefractive Effects, Materials, and Devices, 425, 2003","","2003"
"602","Self-trapping of light in a photorefractive organic glass","M Asaro, Z Chen, O Ostroverkhova, WE Moerner, M He, RJ Twieg, ...","Conference on Lasers and Electro-Optics, 2003. CLEO'03., 2 pp., 2003","","2003"
"603","Optically sensing the state of a single molecule","WE Moerner, O Ostroverkhova, KA Willets","Quantum Electronics and Laser Science Conference, QMA2, 2003","","2003"
"604","Single Molecules as Nanophotonic Probes and Sources","WE Moerner","APS Meeting Abstracts, 2003","","2003"
"605","Mechanisms of Photorefractivity in Polymeric Materials","WE Moerner, RJ Twieg","STANFORD UNIV CA DEPT OF CHEMISTRY, 2002","","2002"
"606","Organic photorefractive material design strategies","D Wright, UJ Gubler, S Sadhukhan, WE Moerner, M He, RJ Twieg, ...","Nonlinear Optical Transmission Processes and Organic Photorefractive …, 2002","","2002"
"607","Photophysics of DsRed, a red fluorescent protein, from the ensemble to the single-molecule level","J Deich, B Lounis, FI Rosell, SG Boxer, WE Moerner","BIOPHYSICAL JOURNAL 82 (1), 46A-47A, 2002","","2002"
"608","A comparison of through-the-objective Total Internal Reflection and epifluorescence microscopies for single-molece fluorescence experiments","MF Paige, E Bjerneld, WE Moerner","BIOPHYSICAL JOURNAL 82 (1), 45A-46A, 2002","","2002"
"609","Monolithic photorefractive glasses based on new nonlinear optical chromophores containing a 2-dicyanomethylene-3-cyano-2, 5-dihydrofurane (DCDHF) acceptor group (see Figure …","O Ostroverkhova, D Wright, U Gubler, WE Moerner, M He, ...","Advanced Functional Materials 12 (9), 621-630, 2002","","2002"
"610","Synthesis and properties of some composite organic photorefractive materials.","M He, RJ Twieg, U Gubler, D Wright, WE Moerner","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 222, U274-U274, 2001","","2001"
"611","Photorefractive and photochromic polymers as adaptive beam combiners for laser-based ultrasound detection","U Gubler, D Wright, WE Moerner, M Klein","Technical Digest. Summaries of papers presented at the Conference on Lasers …, 2001","","2001"
"612","A new charge transporting polymer for photorefractive applications","D Wright, S Sadhukhan, W Moerner, M DeClue, J Siegel","Technical Digest. Summaries of papers presented at the Conference on Lasers …, 2001","","2001"
"613","Single-molecule imaging in Caulobacter crescentus.","MF Paige, E Judd, L Shapiro, WE Moerner","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 221, U285-U285, 2001","","2001"
"614","Single-molecule spectroscopy, from quantum optics to molecular motors.","WE Moerner, B Lounis, H Sosa, EJG Peterman, LSB Goldstein","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 221, U228-U228, 2001","","2001"
"615","Single-Molecule Spectroscopy: From 2K, to Molecular Motors, to Quantum Optics","WE Moerner","APS Meeting Abstracts, 2001","","2001"
"616","Orientation and dynamics of kinesin motors revealed by fluorescence polarization microscopy of many and single molecules.","HJ Sosa, EJG Peterman, WE Moerner, LSB Goldstein","BIOPHYSICAL JOURNAL 80 (1), 572A-572A, 2001","","2001"
"617","Optical studies of single biomolecules in aqueous environments.","WE Moerner, S Brasselet, B Lounis, EJG Peterman, H Sosa, ...","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 220, U232-U232, 2000","","2000"
"618","Using Optical Tweezers to Study Biological Motors","A BRUNGER, S PRUSINER, WE MOERNER, S SCHREIBER, ...","University of California, Berkeley, 2000","","2000"
"619","DESIGN AND OPTIMIZATION OF CHROMOPHORES FOR LIQUID CRYSTAL AND PHOTOREFRACTIVE APPLICATIONS RJ TWIEG, M. HE, L. SUKHOMLINOVA, F. YOU Department of Chemistry, Kent State …","WE MOERNER, MA DIAZ-GARCIA, D WRIGHT, JD CASPERSON, ...","Organic Nonlinear Optical Materials and Devices 561, 119, 1999","","1999"
"620","Investigation of Photorefractive Materials with an Atomic Force Microscope","E Soergel","Advances in Photorefractive Materials, Effects and Devices, MC5, 1999","","1999"
"621","Understanding Photorefractivity in High-Performance Polymer Composites","WE Moerner, A Grunnet-Jepsen, D Wright, MS De Clue, JS Siegel, ...","Advances in Photorefractive Materials, Effects and Devices, OPM1, 1999","","1999"
"622","Study of the orientation of kinesin motors bound to microtubules using single molecule fluorescence polarization spectroscopy","H Sosa, EJG Peterman, RM Dickson, R Sakowicz, WE Moerner, ...","MOLECULAR BIOLOGY OF THE CELL 9, 28A-28A, 1998","","1998"
"623","Trapping studies on photorefractive polymers","D Wright, A Grunnet-Jepsen, MA Diaz-Garcia, JD Casperson, B Smith, ...","Xerographic Photoreceptors and Organic Photorefractive Materials IV 3471, 60-71, 1998","","1998"
"624","Fast and efficient photorefractivity in polymer composites.","WE Moerner, MA Diaz-Garcia, A Grunnet-Jepsen, D Wright, M Bratcher, ...","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 216, U78-U78, 1998","","1998"
"625","Infrared Photorefractive Polymer Characterization System","WE Moerner, Y Tor, J Siegel","CALIFORNIA UNIV SAN DIEGO LA JOLLA DEPT OF CHEMISTRY, 1998","","1998"
"626","Photorefractive effects in organic glass","RJ Twieg, F You, R Wortmann, R Matschiner, C Glania, K Lukaszuk, ...","Technical Digest. Summaries of Papers Presented at the International Quantum …, 1998","","1998"
"627","HIGH-SPEED PHOTOREFRACTIVE POLYMER COMPOSITES","MA Diaz-Garcia, D Wright, M DeClue, J Casperson, BR Smith, ...","Conference on Lasers and Electro-Optics, CPD19, 1998","","1998"
"628","Recent advances in photorefractive polymer composites.","WE Moerner, A Grunnet-Jepsen, D Wright, B Smith","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 215, U197-U197, 1998","","1998"
"629","Single-molecule optical probes of local environments in gels and proteins.","WE Moerner, RM Dickson, S Kummer","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 215, U85-U85, 1998","","1998"
"630","Optical Properties of Single Small Fluorophores and Single Green Fluorescent Protein Molecules in Poly (acrylamide) Gels","WE Moerner","APS March Meeting Abstracts, 1998","","1998"
"631","Quantum optical interactions between a single molecule and a spherical microcavity.","DJ Norris, M Kuwata-Gonokami, WE Moerner","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 213, 50-PHYS, 1997","","1997"
"632","Photorefractive properties of low-glass-transition-temperature polymer composites","A GrunnetJepsen, CL Thompson, RJ Twieg, WE Moerner","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 212, 123-PMSE, 1996","","1996"
"633","HIGH-RESOLUTION SPECTROSCOPY OF SINGLE MOLECULES IN SOLIDS","WE Moerner","Ohio State University, 1996","","1996"
"634","Reprinted with permission from The American Physical Society","S Ducharme, JC Scott, RJ Twieg, WE Moerner","Landmark Papers On Photorefractive Nonlinear Optics, 427, 1995","","1995"
"635","Symposium on Data Storage II","H Room, WE Moerner","THIN FILMS FOR PHOTONICS APPLICATIONS 2, 351, 1995","","1995"
"636","Dynamics and vibrational spectra of individual molecules in polymer glasses [2385-17]","AB Myers, P Tchenio, WE Moerner","PROCEEDINGS-SPIE THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING, 103-103, 1995","","1995"
"637","NEW FRONTIERS IN SINGLE-MOLECULE SPECTROSCOPY IN SOLIDS-RESONANCE FREQUENCY-SHIFTS, VIBRATIONAL-MODES, AND MAGNETIC-RESONANCE OF A SINGLE MOLECULAR SPIN","WE MOERNER","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 208, 31-PHYS, 1994","","1994"
"638","Stratified volume photorefractive polymer structures","JJ Stankus, SM Silence, RJ Twieg, DM Burland, GC Bjorklund, ...","Conference on Lasers and Electro-Optics, CMJ3, 1994","","1994"
"639","Second-order cascading as the origin of large third-order effects in single crystal core fibers","DY Kim, WE Torruellas, C Bosshard, GI Stegeman, P Vidakovik, J Zyss, ...","International Quantum Electronics Conference, QME3, 1994","","1994"
"640","Progress in photorefractive polymers","SM Silence, JJ Stankus, CA Walsh, JC Scott, RJ Twieg, RD Miller, ...","International Quantum Electronics Conference, QTuN2, 1994","","1994"
"641","FIBER OPTICS Photodarkening in Tb8+-doped phosphosilicate and germanosilicate optical fibers Experimental demonstration of compression of dispersed optical pulses by reflection …","P Vidakovic, J Zyss, WE Moerner, R Twieg, G Bjorklund, T Zhai, ...","Optics Letters 19, 851, 1994","","1994"
"642","38/WD1-1 Single molecule spectroscopy: measurements of spectral shifts and fluorescence images","M Croci, T Irngartinger, M Pirotta, V Palm, T Plakhotnik, WE Moerner, ...","Spectral hole-burning and related spectroscopies--science and applications …, 1994","","1994"
"643","Photorefractive Polymers Achieve Net Gain, High Diffraction Efficiency and Speed","GC Bjorklund, DM Burland, M Donckers, E Ginsburg, F Hache, P Jenkner, ...","Optics and Photonics News 4 (12), 42_1-44, 1993","","1993"
"644","Recent progress in photorefractive polymers","SM Silence, M Donckers, CA Walsh, F Hache, EJ Ginsburg, PK Jenkner, ...","Quantum Electronics and Laser Science Conference, QME1, 1993","","1993"
"645","OPTICAL SPECTROSCOPY OF SINGLE MOLECULES IN SOLIDS","WE MOERNER","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 205, 74-PHYS, 1993","","1993"
"646","Two-beam coupling measurements of grating phase in a photorefractive polymer","CA Walsh, WE Moerner","JOURNAL-OPTICAL SOCIETY OF AMERICA B 10, 753-753, 1993","","1993"
"647","Advances in photorefractive polymers: high efficiency, improved speed, and net two-beam coupling gain","WE Moerner, GC Bjorklund, DM Burland, PK Jenkner","TECHNICAL DIGEST SERIES-OPTICAL SOCIETY OF AMERICA 17, 220-220, 1993","","1993"
"648","Lightwave transmission of multiple television signals using an organic polymer electro-optic phase modulator [2025-63]","BA Smith, MC Jurich, WE Moerner, W Volksen","PROCEEDINGS-SPIE THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING, 499-499, 1993","","1993"
"649","Quantum Optics of a Single Molecule in a Solid","WE Moerner","Optics and Photonics News 3 (12), 21-22, 1992","","1992"
"650","Photochemical and Photophysical Dynamics of Persistent Spectral Hole-Burning, Photorefractivity and Single Molecular Absorbers in Condensed Matter","WE Moerner","IBM RESEARCH DIV SAN JOSE CA, 1992","","1992"
"651","Observation and Study of the Photorefractive Effect in Doped Nonlinear Polymers","DM Burland, S Ducharme, WE Moerner, JC Scott, CA Walsh","IBM ALMADEN RESEARCH CENTER SAN JOSE CA, 1992","","1992"
"652","Observation of Spectral Diffusion in Solids Using a Single Molecule","WP Ambrose, T Basche, WE Moerner","IBM RESEARCH DIV SAN JOSE CA, 1992","","1992"
"653","Photorefractivity in doped nonlinear polymers","WE Moerner, CA Walsh, JC Scott, DM Burland, GC Bjorklund, RJ Twieg","Conference on Lasers and Electro-Optics, CMG3, 1992","","1992"
"654","A solid as a single-molecule trap: observation of spectral diffusion and hole-burning on the single-center level","WE Moerner, T Basché, WP Ambrose","Quantum Electronics and Laser Science Conference, QTuL1, 1992","","1992"
"655","Research, applications highlight hole-burning topical","WE Moerner","Optics & Photonics News 3, 29, 1992","","1992"
"656","Photon antibunching in the fluorescence of a single dye molecule trapped in a solid(Interim Report)","TH BASCHE, WE MOERNER","","","1992"
"657","Optical Spectra and Kinetics of Single Impurity Molecules in a Polymer: Spectral Diffusion and Persistent Spectral Hole-Burning","WP Ambrose, T Basche, WE Moerner","IBM ALMADEN RESEARCH CENTER SAN JOSE CA, 1991","","1991"
"658","DeAnza Room","WE Moerner","Persistent spectral hole-burning--science and applications: summaries of …, 1991","","1991"
"659","Hole burning a powerful research tool with key applications potential","WE Moerner","Optics & Photonics News 2, 39, 1991","","1991"
"660","Finding a single molecule in a haystack: laser spectroscopy of solids from (square root of) N to N= 1","WE Moerner, WP Ambrose","Optical Methods for Ultrasensitive Detection and Analysis: Techniques and …, 1991","","1991"
"661","Spectral diffusion of single impurity centers in crystals","WE Moerner, WP Ambrose","Quantum Electronics and Laser Science Conference, QFA8, 1991","","1991"
"662","Observation of the photorefractive effect in doped nonlinear polymers","WE Moerner, S Ducharme, JC Scott, RJ Twieg","Quantum Electronics and Laser Science Conference, QWJ6, 1991","","1991"
"663","Finding a Single Molecule in a Haystack: Laser Spectroscopy of Solids from Sqrt. N to N= 1","WE Moerner, WP Ambrose","IBM ALMADEN RESEARCH CENTER SAN JOSE CA, 1991","","1991"
"664","Single molecule spectral diffusion in a solid detected via fluorescence spectroscopy(Interim Technical Report)","WP AMBROSE, T BASCHE, WE MOERNER","","","1991"
"665","Detection and spectroscopy of single pentacene molecules in a p-terphenyl crystal by means of fluorescence excitation(Interim Technical Report)","WP AMBROSE, T BASCHE, WE MOERNER","","","1991"
"666","Photorefractivity in doped nonlinear organic polymers(Interim Technical Report)","WE MOERNER, C WALSH, JC SCOTT, S DUCHARME, DM BURLAND","","","1991"
"667","Optical modification of a single impurity molecule in a solid(Interim Technical Report)","T BASCHE, WE MOERNER","","","1991"
"668","Two-beam coupling measurements of grating phase in a photorefractive polymer(Interim Technical Report)","CA WALSH, WE MOERNER","","","1991"
"669","Observation of Spectral Diffusion in Crystals Using Single Impurity Molecules","WP Ambrose, WE Moerner","IBM ALMADEN RESEARCH CENTER SAN JOSE CA, 1990","","1990"
"670","LOW-TEMPERATURE SPECTROSCOPIC STUDIES OF POLY (DI-N-HEXYLSILANE) IN A GLASS","C WALSH, DM BURLAND, WP AMBROSE, RD MILLER, WE MOERNER, ...","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 200, 171-POLY, 1990","","1990"
"671","Organic Nonlinear Optical Materials And Their Device Applications","DM Burland, S Ducharme, WW Fleming, RD Miller, WE Moerner, WP Risk, ...","Digest on Nonlinear Optics: Materials, Phenomena and Devices, 322-323, 1990","","1990"
"672","Finding a needle in a haystack: optical detection and spectroscopy of single absorbers in solids","WE MOERNER, L KADOR","International Quantum Electronics Conference, QTUF1, 1990","","1990"
"673","Photon gated persistent spectral hole burning for the meso-tetra-p-tolyl-Zn-tetrabenzoporphyrin/chloroform system in poly (methyl methacrylate): temperature dependence","WP AMBROSE, WE MOERNER","International Quantum Electronics Conference, QTHL2, 1990","","1990"
"674","Phase-Sensitive Optical Detection of Ballistic Phonon Pulses Using Frequency-Modulation Spectroscopy and Persistent Spectral Holes","WP Ambrose, WE Moerner","IBM ALMADEN RESEARCH CENTER SAN JOSE CA, 1990","","1990"
"675","Intracavity frequency doubling of a Nd: YAG laser with an organic nonlinear optical crystal. Interim report","S Ducharme, WP Risk, WE Moerner, VY Lee, RJ Twieg","IBM Research Div., San Jose, CA (USA). Almaden Research Center, 1990","","1990"
"676","Observation of the photorefractive effect in a polymer(Interim Technical Report)","S DUCHARME, JC SCOTT, RJ TWIEG, WE MOERNER","","","1990"
"677","Observation of spectral diffusion in crystals using single impurity molecules(Interim Technical Report)","WP AMBROSE, WE MOERNER","","","1990"
"678","Ultrasensitive laser spectroscopy in solids: Statistical fine structure and single-molecule detection(Interim Report)","WE MOERNER","","","1990"
"679","Optical Detection and Probing of Single Dopant Molecules of Pentacene in a p-Terphenyl Crystal by Means of Absorption Spectroscopy","L Kador, DE Horne, WE Moerner","IBM ALMADEN RESEARCH CENTER SAN JOSE CA, 1989","","1989"
"680","Possibility for photorefractive effects in organic electrooptic crystals","S DUCHARME, GC BJORKLUND, H LOOSER, RJ TWIEG, ...","Quantum Electronics and Laser Science Conference, WDD9, 1989","","1989"
"681","STATISTICAL PROPERTIES OF INHOMOGENEOUSLY BROADENED LINES IN SOLIDS","WE MOERNER","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 197, 147-PHYS, 1989","","1989"
"682","Statistical fine structure in inhomogeneously broadened absorption lines in solids","WE Moerner, TP Carter","AIP Conference Proceedings 172 (1), 419-424, 1988","","1988"
"683","Dynamical Hole-Burning Requirements for Frequency Domain Optical Storage","WE Moerner","Unconventional Photoactive Solids, 41-51, 1988","","1988"
"684","Toward a powerful application of laser spectroscopy: photon-gated persistent spectral hole burning","WE MOERNER, RM MACFARLANE","Conference on Lasers and Electro-Optics, TUM4, 1987","","1987"
"685","New mechanism for photon-gated spectral hole burning: donor-acceptor electron transfer","TP CARTER, C Brauchle, VY LEE, M Manavi, WE MOERNER","International Quantum Electronics Conference, FBB1, 1987","","1987"
"686","New mechanism for photon-gated spectral hole","TP Carter, C Brauchle, VY Lee, M Manavi, WE Moerner","Journal of the Optical Society of America B Optical Physics 4, 1987","","1987"
"687",""" Frequency Domain Optical Storage and Other Applications of Persistent Spectral Hole-Burning"" Persistent Spectral Hole-Burning","WE MOERNER","Science and Application, 251-307, 1987","","1987"
"688","Statistical fine structure in inhomogeneously broadened absorption lines in solids(Interim Technical Report)","WE MOERNER, TP CARTER","","","1987"
"689","Optical data storage","AE Bell","Applied optics 25 (22), 3985-3985, 1986","","1986"
"690","Phase-sensitive detection of persistent spectral holes using synchronous ultrasonic modulation spectroscopy","WE Moerner, AL Huston","International Quantum Electronics Conference, FCC8, 1986","","1986"
"691","Fast burning of persistent spectral holes in small laser spots using photon-gated materials(Interim Technical Report)","WE MOERNER, TP CARTER, C BRAEUCHLE","","","1986"
"692","Photon-gated spectral hole-burning via donor-acceptor electron transfer(Interim Technical Report)","TP CARTER, C BRAUCHLE, VY LEE, M MANAVI, WE MOERNER","","","1986"
"693","Shot-noise-limited detection in FM spectroscopy by optical nulling of residual amplitude modulation","M Gehrtz, WE Moerner, GC Bjorklund, EA Whittaker","Conference on Lasers and Electro-Optics, WN2, 1985","","1985"
"694","TWO-COLOR, PHOTON-GATED SPECTRAL HOLE-BURNING","WE Moerner, M Gehrtz, HWH Lee, RM Macfarlane, E Marinero, ...","Conference on Lasers and Electro-Optics, ThZ6, 1985","","1985"
"695","The Spectroscopic Search for Single-Photon Materials","WE Moerner","Photonics Spectra 19 (2), 59-&, 1985","","1985"
"696","Radiation Effects in Optical Materials: Proceedings: Held in Conjunction with the Southwest Conference on Optics: March 6-7, 1985, Albuquerque, New Mexico","PW Levy","SPIE--the International Society for Optical Engineering, 1985","","1985"
"697","Progress in frequency domain optical storage","FM SCHELLENBERG, WE MOERNER, MD LEVENSON, ...","Conference on Lasers and Electro-Optics, THI41, 1984","","1984"
"698","Zero-background detection of persistent spectral holes using ultrasonic modulation","AL HUSTON, WE MOERNER","Conference on Lasers and Electro-Optics, FJ2, 1984","","1984"
"699","Hole-burning spectroscopy as a probe of phototautomerization dynamics in phthalocyanine Systems","WE MOERNER, M ROMAGNOLI, VY LEE, FM SCHELLENBERG, ...","Conference on Lasers and Electro-Optics, WD5, 1984","","1984"
"700","Progress in frequency domain optical storage.","GC Bjorklund, WE Moerner, MD Levenson, FM Schellenberg, DJ Bernays","Topical Meet. Optical Data Storage, 1984","","1984"
"701","Materials for spectral hole-burning storage","WE MOERNER","Conference on Lasers and Electro-Optics, WM3, 1983","","1983"
"702","Frequency-domain optical storage using spectral hole burning (A)","WE Moerner, MD Levenson, P Pokrowsky, GC Bjorklund","Journal of the Optical Society of America (1917-1983) 73, 1983","","1983"
"703","High-sensitivity spectral hole burning (A)","WE Moerner, GC Bjorklund, G Castro, A Gutierrez, P Kaipa, F Luty, ...","J. Opt. Soc. Am., vol. 73, page 1397 73, 1983","","1983"
"704","Nonlinear processes II","RM Shelby, RM Macfarlane, DP Burum, J Friedrich, D Haarer, ...","Applied Physics B: Lasers and Optics 28, 262-268, 1982","","1982"
"705","Physical origins of the optical nonlinearities of materials: an overview","CL Tang","Conference on Lasers and Electro-Optics, FA1, 1982","","1982"
"706","Progress in frequency domain optical memories","GC BJORKLUND, WE MOERNER, FM SCHELLENBERG","Conference on Lasers and Electro-Optics, FF1, 1982","","1982"
"707","Persistant nonphotochemical hole-burning of a molecular vibrational mode in alkali halide lattices","WE MOERNER, AJ SIEVERS, RH SILSBEE, AR CHRAPLYVY, ...","Conference on Lasers and Electro-Optics, FK2, 1982","","1982"
"708","VIBRATIONAL RELAXATION DYNAMICS OF AN INFRARED-LASER-EXCITED MOLECULAR IMPURITY MODE IN ALKALI HALIDE LATTICES.","WE Moerner","","","1982"
"709","HOLE BURNING MEASUREMENTS OF THE REO4-VIBRATIONAL-MODE HOMOGENEOUS LINEWIDTH IN KI-RBI AT LOW-TEMPERATURES","AR CHRAPLYVY, WE MOERNER, AJ SIEVERS","BULLETIN OF THE AMERICAN PHYSICAL SOCIETY 26 (3), 280-280, 1981","","1981"
"710","LASER SATURATION STUDIES OF THE REO4-NU-3 VIBRATIONAL-MODE IN MIXED ALKALI-HALIDE SYSTEMS AT LOW-TEMPERATURES","WE MOERNER, AJ SIEVERS, AR CHRAPLYVY","BULLETIN OF THE AMERICAN PHYSICAL SOCIETY 26 (3), 279-280, 1981","","1981"
"711","SHORT PULSE GENERATION BY OPTICAL FREE INDUCTION DECAY IN A SATURABLE ABSORBER","WE MOERNER, RT WARNER, AJ SIEVERS","BULLETIN OF THE AMERICAN PHYSICAL SOCIETY 25 (3), 359-359, 1980","","1980"
"712","2-TRANSDUCER FORMULA FOR MORE PRECISE DETERMINATION OF ULTRASONIC PHASE VELOCITY FROM STANDING WAVE MEASUREMENTS","HI RINGERMACHER, WE MOERNER, JG MILLER","IEEE TRANSACTIONS ON SONICS AND ULTRASONICS, 239-239, 1975","","1975"
"713","Ultrasonic Determination of Magnetoelastic and Anisotropy Constants of Single Crystal Ni","VE Stubblefield, WE Moerner, PA Fedders, JG Miller, DI Bolef","1974 Ultrasonics Symposium, 474-477, 1974","","1974"
"714","IMPROVED TRANSDUCER CORRECTION FOR STANDING WAVE ULTRASONIC VELOCITY-MEASUREMENTS","RINGERMA. HI, WE MOERNER, JG MILLER","BULLETIN OF THE AMERICAN PHYSICAL SOCIETY 19 (1), 106-106, 1974","","1974"
"715","William E. Moerner","WE Moerner","","",""
"716","Sensing interactions between single molecules by their motions","Q Wang, WE Moerner","","",""
"717","Easy-DHPSF 2.0: open-source software for three-dimensional localization and two-color registration of single molecules with nanoscale accuracy","C Bayas, A von Diezmann, AK Gustavsson, WE Moerner","","",""
"718","Single-Molecule Optical Detection, Imaging and Spectroscopy edited by","T Basch, WE Moerner, M Orrit, UP Wild","","",""
"719","Holographic data storage in photorefractive polymers","PM Lundquist, C Poga, RG DeVoe, Y Jia, WE Moerner, RM Shelby, ...","Summaries of papers presented at the Conference on Lasers and Electro-Optics, 0","",""
"720","A mikroszkópos feloldási korlát áttörése","E Betzig, SW Hell, WE Moerner","Természet Világa, 53, 0","",""
"721","Preprint highlights, selected by the biological community","A Franck, J Laine, G Moulay","","",""
"722","Supplemental material for CHOLESTEROL DEPLETION SUPPRESSES THE TRANSLATIONAL DIFFUSION OF CLASS II MHC PROTEINS IN PLASMA MEMBRANE","M Vrljic, SY Nishimura, WE Moerner, HM McConnell","","",""
"723","Sunday, February 16, 2014 203a","ARS von Diezmann, A Gahlmann, JL Ptacin, L Shapiro, WE Moerner","","",""
"724","176a Monday, February 29, 2016","M Lee, M Lew, A von Diezmann, L Weiss, Y Shechtman, WE Moerner","","",""
"725","Committees and sponsors","T Basche, R Cone, TC Chang, D Dolfi, J Friedrich, JP Galaup, SW Hell, ...","","",""
"726","Single Molecule Approaches to Biology","NH Dekker, WE Moerner, JM Fernandez, SW Hell","","",""
"727","oRlENTATloN oF EMIssIoN DlPoLE MoMENI","T Plakhotnlk, WE Moerner, V Palm, U P'Wild","","",""
"728","Enzymatic Activation of Nitro-Aryl Fluorogens in Live Bacteria for Enzymatic Turnover-Activated Localization Microscopy","MK Lee, J Williams, RJ Twieg, J Rao, WE Moerner","","",""
"729","R. J. TWIEG, M. HE, L. SUKHOMLINOVA, F. YOU","WE MOERNER, MA DIAZ-GARCIA, D WRIGHT, JD CASPERSON, ...","","",""
