"","Papers","Partners","Journals","Citations","Years"
"597","Protein Localization Using Correlative Super Resolution Fluorescence Microscopy and Electron Microscopy","S Watanabe, A Punge, G Hollopeter, RJ Hobson, MW Davis, SW Hell, ...","JOURNAL OF GENERAL PHYSIOLOGY 136 (1), 12A-13A, 2010","","2010"
"598","Titelbild: Rhodamine NN: eine neue Klasse maskierter Fluoreszenzfarbstoffe (Angew. Chem. 20/2010)","VN Belov, CA Wurm, VP Boyarskiy, S Jakobs, SW Hell","Angewandte Chemie 122 (20), 3463-3463, 2010","","2010"
"599","Cover Picture: Rhodamines NN: A Novel Class of Caged Fluorescent Dyes (Angew. Chem. Int. Ed. 20/2010)","VN Belov, CA Wurm, VP Boyarskiy, S Jakobs, SW Hell","Angewandte Chemie International Edition 49 (20), 3391-3391, 2010","","2010"
"600","Cover Picture: New Fluorinated Rhodamines for Optical Microscopy and Nanoscopy (Chem. Eur. J. 15/2010)","GY Mitronova, VN Belov, ML Bossi, CA Wurm, L Meyer, R Medda, ...","Chemistry-A European Journal 16 (15), 4407-4407, 2010","","2010"
"601","Fab Fragments Versus Full IgGs in Stimulated Emission Depletion (STED) Nanoscopy","P Bingen, J Chojnacki, T Staudt, J Engelhardt, HG Kräusslich, S Hell","Biophysical Journal 98 (3), 396a, 2010","","2010"
"602","Sted Based Super-Resolution Imaging of Transverse Tubules in Ventricular Myocytes","E Wagner, M Lauterbach, V Westphal, B Hagen, WJ Lederer, SW Hell, ...","Biophysical Journal 98 (3), 5a, 2010","","2010"
"603","Solute Transport in the Transverse Tubules of Cardiac Ventricular Myocytes","BM Hagen, MA Lauterbach, E Wagner, SW Hell, SE Lehnart, WJ Lederer","Biophysical Journal 98 (3), 361a, 2010","","2010"
"604","Reversibly Switchable Fluorescent Proteins","AC Stiel, M Andresen, T Brakemann, T Grotjohann, SW Hell, S Jakobs","Biophysical Journal 98 (3), 394a, 2010","","2010"
"605","Media 1: Fast STED microscopy with continuous wave fiber lasers","G Moneron, R Medda, B Hein, A Giske, V Westphal, SW Hell","","","2010"
"606","Using Ab-Space to Remove Background Components from Images in Systems of Multiple Fluorophores","AHA Clayton, N Kozer, Q Hanley","Biophysical Journal 98 (3), 396a-397a, 2010","","2010"
"607","A New Animal at the Fluorescence Zoo","VN Belov, CA Wurm, VP Boyarskiy, S Jakobs, SW Hell","Synfacts 2010 (09), 1014-1014, 2010","","2010"
"608","Creation of nitrogen-vacancy centres in diamond with high resolution","S Pezzagna, J Meijer, D Wildanger, SW Hell, P Mazarov, AD Wieck, ...","Verhandlungen der Deutschen Physikalischen Gesellschaft, 2010","","2010"
"609","Single Molecule Spectroscopy Illuminating the Molecular Dynamics of Life","WW Webb","Single Molecule Spectroscopy in Chemistry, Physics and Biology, 107-117, 2010","","2010"
"610","TIMP–1 Plays a Functional Role in CD34.+ Hematopoietic Stem and Progenitor Cells.","CM Wilk, AG Czibere, RP Cadeddu, S Buest, FA Schildberg, ...","Blood 114 (22), 1487-1487, 2009","","2009"
"611","Cover Picture: Rhodamine Spiroamides for Multicolor Single-Molecule Switching Fluorescent Nanoscopy (Chem. Eur. J. 41/2009)","VN Belov, ML Bossi, J Fölling, VP Boyarskiy, SW Hell","Chemistry-A European Journal 15 (41), 10673-10673, 2009","","2009"
"612","STED and related concepts for far-field optical nanoscopy","D Wildanger, E Rittweger, J Bückers, R Medda, L Kastrup, SW Hell","2009 IEEE LEOS Annual Meeting Conference Proceedings, 353-354, 2009","","2009"
"613","Method of fluorescence-microscopically imaging a structure in a sample with high three-dimensional spatial resolution","J Engelhardt, L Marion, S Hell","US Patent App. 12/413,665, 2009","","2009"
"614","timp-1 is co-localized with Cd63 on Cd34+ hematopoietic stem and progenitor cells: V602","CM Wilk, A Czibere, R Cadeddu, S Büst, MA Lauterbach, V Westphal, ...","Onkologie 32, 167, 2009","","2009"
"615","Studying nanoscale membrane dynamics by sub-diffraction far-field fluorescence STED microscopy","C Eggeling, C Ringemann, V Mueller, R Medda, G Schwarzmann, ...","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 238, 2009","","2009"
"616","Far-field optical nanoscopy of diamond color centers","E Rittweger, KY Han, SE Irvine, JD Wildanger, C Eggeling, SW Hell","CLEO/Europe-EQEC 2009-European Conference on Lasers and Electro-Optics and …, 2009","","2009"
"617","Far-Field Optical Nanoscopy","V Westphal, SO Rizzoli, MA Lauterbach, D Kamin, SW Hell","Novel Techniques in Microscopy, NMA1, 2009","","2009"
"618","Three-Dimensional Imaging of Polymeric Nanostructures by Molecular Switching in Far Field Fluorescence Microscopy","C Ullal, R Schmidt, A Egner, B Harke, J Keller, D Adamson, L Kastrup, ...","APS Meeting Abstracts, 2009","","2009"
"619","Far-Field Fluorescence Nanoscopy","S Hell","APS March Meeting Abstracts, 2009","","2009"
"620","STED Nanoscopy in Living Cells using Live Cell Compatible Markers","KI Willig, B Hein, UV Nägerl, SW Hell","Biophysical Journal 96 (3), 17a, 2009","","2009"
"621","Wieland-Preis für SV Ley","SW Hell, E Nakamura, SV Ley","Angew. Chem. Int. Ed 48, 1317, 2009","","2009"
"622","New Developments in STED Microscopy","SW Hell, A Egner, R Schmidt","Frontiers in Optics, FTuS1, 2008","","2008"
"623","Light-Controlled Switching of Fluorescence from Mn-Doped ZnSe Quantum Dots","SE Irvine, T Staudt, E Rittweger, J Engelhardt, SW Hell","Frontiers in Optics, FTuS6, 2008","","2008"
"624","Quenching Processes in Fluorescence Nanoscopy","E Rittweger, BR Rankin, SE Irvine, V Westphal, SW Hell","Frontiers in Optics, FTuY5, 2008","","2008"
"625","Innentitelbild: Direct Light-Driven Modulation of Luminescence from Mn-Doped ZnSe Quantum Dots (Angew. Chem. 14/2008)","SE Irvine, T Staudt, E Rittweger, J Engelhardt, SW Hell","Angewandte Chemie 120 (14), 2550-2550, 2008","","2008"
"626","Fluoreszenzmikroskopie in ungekannter Schärfe","SW Hell","Walter de Gruyter GmbH & Co. KG, 2008","","2008"
"627","Scharfer Blick in die Tiefe der Zelle","SW HELL, A EGNER","Git 52 (9), 756-756, 2008","","2008"
"628","ANYL 364-Concepts of far-field fluorescence nanoscopy","SW Hell","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 234, 2007","","2007"
"629","PHYS 736-Lens-based Fluorescence Nanoscopy","SW Hell","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 234, 2007","","2007"
"630","Cholesterol modulates acetylcholine receptor organization and stability at the cell membrane","CJ Baier, R Kellner, V Borroni, K Willig, I Garbus, SW Hell, FJ Barrantes","Journal of Neurochemistry 102 (Suppl. 1), 24-25, 2007","","2007"
"631","Elucidating protein localisations via 4Pi two-colour imaging of the golgi complex of live mammalian cells","T Mueller, S Verrier, A Egner, A Schoenle, SW Hell","","","2007"
"632","Mikroskopie jenseits der Beugungsgrenze: Ein Interview mit dem Erfinder der STED-Mikroskopie, Stefan Hell","S Hell","Optik & Photonik 2 (1), 8-11, 2007","","2007"
"633","Nanoscale cluster organization of the acetylcholine receptor: cholesterol comes of age","R Kellner, CJ Baier, V Borroni, K Willig, SW Hell, FJ Barrantes","","","2007"
"634","STED microscopy sees details on the nanoscale","SW Hell, L Kastrup, KI Willig","OPTO AND LASER EUROPE 156, 15, 2007","","2007"
"635","Fluoreszenzmikroskopie sieht chemisch scharf","SW Hell, L Kastrup","Nachrichten aus der Chemie 55 (1), 47-50, 2007","","2007"
"636","Optics far Beyond the Diffraction Limit: Stimulated Emission Depletion Microscopy","S Hell","Springer Handbook of Lasers and Optics, 1091-1098, 2007","","2007"
"637","Ground-state-depletion fluorescence microscopy provides subdiffraction resolution through triplet state pumping","J Toivonen, S Bretschneider, C Eggeling, P Hänninen, SW Hell","Peiponen, K.-E. et al.(eds.). OIE'07, The Seventh Finnish-Japanese Joint …, 2007","","2007"
"638","<U+53EF><U+9006><U+7684><U+8D64><U+8272><U+86CD><U+5149><U+5206><U+5B50><U+30B9><U+30A4><U+30C3><U+30C1>","M BOSSI, V BELOV, S POLYAKOVA, SW HELL","Angew Chem Int Ed 45 (44), 7462-7465, 2006","","2006"
"639","Far-field fluorescence microscopy at the macromolecular scale","SW Hell, K Willig, M Hofmann, C Eggeling, V Westphal","Frontiers in Optics, JWF1, 2006","","2006"
"640","Molecular mechanism of the reversible photoswitch in the fluorescent protein asFP595","M Andresen, AC Stiel, C Eggeling, SW Hell, S Jakobs","","","2006"
"641","Fluorescence nanoscopy: Breaking the diffraction barrier by the RESOLFT concept","SW Hell","EUROPEAN JOURNAL OF CELL BIOLOGY 85, 100-100, 2006","","2006"
"642","4Pi-SHG imaging of mammalian myofibrillar structures","M Vogel, D Hahn, S Schürmann, M Lang, F von Wegner, O Friedrich, ...","Multiphoton Microscopy in the Biomedical Sciences VI 6089, 60891Q, 2006","","2006"
"643","Highlights from european journals","KI Willig, J Keller, M Bossi, SW Hell","europhysicsnews 8, 5, 2006","","2006"
"644","Fluorescence nanoscopy","SW Hell","Cytometry Part A 69 (1), 51-52, 2006","","2006"
"645","Cell Biology","A Vignery, M Thiry, DLJ Lafontaine, EM Reichl, JC Effler, DN Robinson, ...","Cell 15 (4), 179-228, 2005","","2005"
"646","Matrix constrictions are independent of the mitochondrial fission machinery in S-cerevisiae","A Schauss, S Jakobs, SW Hell","","","2005"
"647","of Book: Medizinische Laserphysik","SW Hell","Springer Verlag, 2005","","2005"
"648","Live cell imaging and the refractive index problem","A Egner, SW Hell","Trends in Cell Biology 4 (15), 207-215, 2005","","2005"
"649","Neues Gesetz zur Auflösung in der Lichtmikroskopie ermöglicht Bilder in bisher ungekannter Schärfe","SW Hell","Tätigkeitsbericht der Max-Planck-Gesellschaft, 2005","","2005"
"650","Insight into the structure and mechanism of the reversible photoswitch of a fl uorescent protein","M Andresen, MC Wahl, AC Stiel, F Gräter, L Schaefer, S Trowitzsch, ...","MPIBPC News 11 (12), 1-4, 2005","","2005"
"651","9.1 Grundlegendes zur Auflösung","SW Hell","Medizinische Physik 3: Medizinische Laserphysik 3, 179, 2004","","2004"
"652","Fluorescence nanoscopy through reversible optically saturable transitions.","SW Hell, V Westphal, M Dyba, L Kastrup","","","2004"
"653","Pushing fluorescence microscopy resolution to the nanoscale","SW Hell","","","2004"
"654","Fluorescence 3D-microscopy with 100 nm resolution","S Jakobs, A Egner, SW Hell","Laser Applications to Chemical and Environmental Analysis, TuB5, 2004","","2004"
"655","4PI-MICROSCOPY WITH 1-PHOTON EXCITATION","J Bewersdorf, H Gugel, R Schmidt, SW Hell","Biophys. J 87, 4146-4152, 2004","","2004"
"656","Spectroscopy, Imaging, Other Techniques-Cooperative 4Pi Excitation and Detection Yields Sevenfold Sharper Optical Sections in Live-Cell Microscopy.","H Gugel, J Bewersdorf, S Jakobs, J Engelhardt, R Storz, SW Hell","Biophysical Journal 87 (6), 4146-4152, 2004","","2004"
"657","STED and 4Pi microscopy to achieve super-resolution","S Hell, CM Blanca, A Egner, M Dyba, V Westphal, L Kastrup, J Bewersdorf","Frontiers in Optics, ThR1, 2003","","2003"
"658","PRINCIPLES AND APPLICATIONS OF TIME-RESOLVED FLUORESCENCE SPECTROSCOPY","J Owicki","Journal of Fluorescence 13 (5), 2003","","2003"
"659","Spatial and temporal dynamics of fission deficient mitochondria.","S Jakobs, N Martini, A Egner, AC Schauss, SW Hell","YEAST 20, S330-S330, 2003","","2003"
"660","Stimulated emission depletion with sub-ns pulses","V Westphal, C Blanca, L Kastrup, SW Hell","2003 Conference on Lasers and Electro-Optics Europe (CLEO/Europe 2003)(IEEE …, 2003","","2003"
"661","Towards far-field fluorescence nanoscopy","SW Hell, M Dyba","Postconference Digest Quantum Electronics and Laser Science, 2003. QELS., 1 pp., 2003","","2003"
"662","excitation two-photon fluorescence microscopy./. Microsc. 176, 222-225. Hell, SW, Hanninen. PE. Kuusisto, A., Schrader, M. & Soini, E.(1995) Annular aperture 2-photon …","SW Hell, G Reiner, C Cremer, EHK Stelzer","Selected papers on multiphoton excitation microscopy 175, 400, 2003","","2003"
"663","Picosecond pulsed two-photon imaging with repetition rates of 200 and 400 MHz","J Bewersdorf, SW Hell","SPIE milestone series 175, 390-400, 2003","","2003"
"664","Continuous wave excitation two-photon fluorescence microscopy","PE HÄNNINEN, E Soini, SW Hell","SPIE milestone series 175, 123-126, 2003","","2003"
"665","Reprinted with permission from Optics Communications, Vol. 93 (5/6), pp. 277-282 (October 15, 1992).© 1992 Elsevier Science.","S Hell, EHK Stelzer","Selected papers on multiphoton excitation microscopy 175, 117, 2003","","2003"
"666","Fundamental improvement of resolution with a 4Pi-confocal fluorescence microscope using two-photon excitation","S HELL, EHK STELZER","SPIE milestone series 175, 117-122, 2003","","2003"
"667","Two-photon near-and far-field fluorescence microscopy with continuous-wave excitation","SW HELL, M BOOTH, S WILMS, CM SCHNETTER, AK KIRSCH, ...","SPIE milestone series 175, 187-189, 2003","","2003"
"668","Reprinted with permission from Optics Letters, Vol. 23 (9), pp. 655-657 (May 1, 1998).© 1998 Optical Society of America.","J Bewersdorf, R Pick, SW Hell","Selected papers on multiphoton excitation microscopy 175, 434, 2003","","2003"
"669","Space-multiplexed multifocal nonlinear microscopy","SW Hell, V Andresen","SPIE milestone series 175, 452-458, 2003","","2003"
"670","Reprinted with permission from Optics Letters, Vol. 23 (15), pp. 1238-1240 (August 1, 1998).© 1998 Optical Society of America.","SW Hell, M Booth, S Wilms, CM Schnetter, AK Kirsch, DJ Arndt-Jovin, ...","Selected papers on multiphoton excitation microscopy 175, 187, 2003","","2003"
"671","Reprinted with permission from Optics Letters, Vol. 19 (11), pp. 780-782 (June 1, 1994).© 1994 Optical Society of America.","SW Hell, J Wichmann","Selected papers on multiphoton excitation microscopy 175, 71, 2003","","2003"
"672","Fluorescence lifetime three-dimensional microscopy with picosecond precision using a multifocal multiphoton microscope","M Straub, SW Hell","SPIE milestone series 175, 328-330, 2003","","2003"
"673","Depolarization by high-aperture focusing","K Bahlmann, SW Hell","Three-Dimensional and Multidimensional Microscopy: Image Acquisition and …, 2002","","2002"
"674","Nonlinear Dynamics, Fluid Dynamics, Classical Optics, etc.-Focal Spots of Size l/23 Open Up Far-Field Florescence Microscopy at 33 nm Axial Resolution","M Dyba, SW Hell","Physical Review Letters 88 (16), 163901-164500, 2002","","2002"
"675","Far-field fluorescence microscopy beyond the diffraction limit [4829-5]","SW Hell","PROCEEDINGS-SPIE THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING, li-lii, 2002","","2002"
"676","Depolarization by high-aperture focusing [4621-17]","K Bahlmann, SW Hell","PROCEEDINGS-SPIE THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING, 95-103, 2002","","2002"
"677","Three-Dimensional Microscopy: Parallelize Without Compromise","SW Hell, V Andresen, A Egner","Optics and Photonics News 12 (12), 35-35, 2001","","2001"
"678","Breaking the diffraction limit in far-field light microscopy by stimulated emission","SW Hell, TA Klar, S Jakobs, M Dyba","Technical Digest. Summaries of papers presented at the Quantum Electronics …, 2001","","2001"
"679","Fluorescence Microscopy with resolution beyond classical limits by stimulated emission depletion","TA Klar, M Dyba, S Jakobs, SW Hell","APS Meeting Abstracts, 2001","","2001"
"680","Informationen-Helmholtz-Preis an","S Hell, T Klar","PTB Mitteilungen Forschen und Prufen 111 (3), 205-205, 2001","","2001"
"681","PART 2 RAPID COMMUNICATIONS-Classical physics, including nonlinear media and photonic materials-Breaking Abbe's diffraction resolution limit in fluorescence microscopy with …","TA Klar, E Engel, SW Hell","Physical Review-Section E-Statistical Physics Plasma Fluids Related …, 2001","","2001"
"682","A Brewster angle microscopy investigation of the topochemical polymerization of diacetylene monolayers at the air/water and air/glass interfaces.","DW Britt, UG Hofmann, D Moebius, SW Hell","Langmuir 17, 3757-3765, 2001","","2001"
"683","Egerton, RF, see Zhu, Y. 87 (2001) 135","K Bahlmann, S Jakobs, SW Hell, PL Bellon, F Cantele, S Lanzavecchia, ...","Ultramicroscopy 87, 251-252, 2001","","2001"
"684","Diffraction Resolution Barrier Fundamentally Broken in Far-Field Fluorescence Microscopy","SW Hell, TA Klar","Optics and Photonics News 11 (12), 42-43, 2000","","2000"
"685","HIGH-NUMERICAL-APERTURE OPTICAL MICROSCOPY AND MODERN APPLICATIONS-Four-dimensional multiphoton microscopy with time-correlated single-photon counting","A Schonle, M Glatz, SW Hell","Applied Optics 39 (34), 6306-6311, 2000","","2000"
"686","Realisation of Depletion by Stimulated Emission in Fluorescence Microscopy","SW Hell, M Schrader, K Bahlmann, F Meinecke, C Cremer","Focus On Multidimensional Microscopy: Volume 1, 78-88, 1999","","1999"
"687","FLUIDS, PLASMAS, AND ELECTRICAL DISCHARGES","MD McCluskey, DP Bour, K Nauka, P Wisniewski, W Knap, JP Malzac, ...","Appl. Phys. Lett 73 (13), 1998","","1998"
"688","GENERAL PHYSICS: Nuclear, Atomic, and Molecular „PACS 01 39…","I Pereyra, MNP Carreno, MH Tabacniks, RJ Prado, MCA Fantini, ZH Zhou, ...","J. Appl. Phys 84 (5), 1998","","1998"
"689","Confocal Laser Scanning Microscopy.","SW Hell","Journal of Microscopy 190 (3), 392, 1998","","1998"
"690","Time-Resolved Fluorescence Spectroscopy and Imaging of DNA Labeled with DAPI and Hoechst 33342 Using Three-Photon Excitation","SW Hell","","","1997"
"691","Improvement of Resolution in Fluorescence Microscopy by Reconstructions from Tilted Views","K Saetzler, SW Hell, R Eils","CELL VISION 4, 227-227, 1997","","1997"
"692","Multiphoton Excitation in Microscopy: Other Approaches","SW Hell, A Schoenle, J Bewersdorf","CELL VISION 4, 187-187, 1997","","1997"
"693","Recent Developments in (Two-Photon) Fluorescence Microscopy","SW Hell, M Schrader, K Bahlmann, F Meinecke, C Cremer, PE Haenninen, ...","MEDICAL AND BIOLOGICAL ENGINEERING AND COMPUTING 34, 281-282, 1996","","1996"
"694","Properties of a 4Pi confocal fluorescence microscope","S Hell, EHK Stelzer","SPIE MILESTONE SERIES MS 131, 422-429, 1996","","1996"
"695","3-DIMENSIONAL MICROSCOPY AND IMAGING APPROACHES FOR STUDIES OF CHROMOSOME TERRITORIES AND SUBREGIONAL CHROMOSOMAL TARGETS IN HUMAN CELL-NUCLEI","C CREMER, R EILS, B RINKE, K SARACOGLU, S DIETZEL, E SCHROCK, ...","JOURNAL OF CELLULAR BIOCHEMISTRY, 119-119, 1995","","1995"
"696","Light scattering in 4Pi confocal microscopy [2412-13]","M Schrader, SW Hell, T Wilson","PROCEEDINGS-SPIE THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING, 95-95, 1995","","1995"
"697","SW Hell and J. Wichmann, Opt. Lett. 19, 780 (1994).","SW Hell","Opt. Lett. 19, 780, 1994","","1994"
"698","Science (Washington, DC, United States)(2007), 316 (5828), 1153-1158 CODEN: SCIEAS; ISSN: 0036-8075","FFO Nanoscopy, SW Hell","American Association for the Advancement of Science) A review. In, 1873","","1873"
"699","4Pi-microscopy of the Golgi apparatus in live mammalian cells","SW Hell","","",""
"700","A mi rosz ópos feloldási orlát áttörése","E Betzig, SW Hell, WE Moerner","Természet Világa, 53, 0","",""
"701","Prof. Dr. Dr. hc mult.","SW HELL","","",""
"702","SUPPORTING INFORMATION APPENDIX","R Vlijm, X Li, M Panic, D Rüthnick, S Hata, F Herrmannsdörfer, T Kuner, ...","","",""
"703","Supporting Material","BR Rankin, G Moneron, CA Wurm, JC Nelson, A Walter, D Schwarzer, ...","","",""
"704","OBJECTIVE: The aim of this study was to evaluate histomorphometrically the effect of alveolex (Propolis 10%) on the repair of bone cavities in the calvaria of rats. MATERIALS …","B Lalkens, I Testa, KI Willig, SW Hell","Microscopy Research and Technique 75 (1), 97-102, 0","",""
"705","Saturday, February 2, 2013 5a","C Eggeling, V Mueller, A Honigmann, DM Andrade, JB de la Serna, ...","","",""
"706","Highlights d Dendrites exhibit periodic actin organization d Cytoskeletal proteins show the same periodicity at nodes of Ranvier d","E D’Este, D Kamin, A El-Hady, SW Hell","","",""
"707","Nanometer resolution imaging and tracking of fluorescent molecules with minimal photon fluxes","FD Stefani, J Elf, SW Hell","","",""
"708","Single Molecule Approaches to Biology","NH Dekker, WE Moerner, JM Fernandez, SW Hell","","",""
"709","SUPPORTING MATERIAL","JP Müller, A Löf, S Mielke, T Obser, LK Bruetzel, W Vanderlinden, J Lipfert, ...","","",""
"710","Nanoscopy with Focused Light (Breaking the Light Barrier)","SW Hell","","",""
"711","HHS Public Access","G van den Bogaart, K Meyenberg, HJ Risselada, H Amin, KI Willig, ...","Nature 479 (7374), 552-555, 0","",""
"712","Supporting Material High and low mobility stages in the synaptic vesicle cycle","D Kamin, M Lauterbach, V Westphal, J Keller, A Schoenle, S Hell, ...","","",""
"713","Familie-Hansen-Preis für","SW Hell, BM Weckhuysen","","",""
"714","Nanoscopy with Focused Light and Its Relevance to the Biomedical Sciences","SW Hell","Session 2P3 3 FocusSession. SC3: Optics for Bio-medical Diagnostics and …, 0","",""
"715","The following Communications have been judged by at least two referees to be “very important papers” and will be published online at www. angewandte. org soon","U Hanefeld, GV Zyryanov, MA Palacios, P Anzenbacher Jr, S Shimizu, ...","","",""
"716","Solid Immersion Facilitates Fluorescence Microscopy with Nanometer Resolution and Sub-Ångström Emitter Localization Dominik Wildanger,* Brian R. Patton, Heiko Schill, Luca","JP Marseglia, S Knauer, A Schönle, JG Rarity, JL O’Brien, SW Hell, ...","","",""
"717","The following Communications have been judged by at least two referees to be “very important papers” and will be published online at www. angewandte. org soon","S Shinkai, P Mukhopadhyay, G Zuber, P Wipf, DN Beratan, J Fölling, ...","","",""
"718","Hansen Family Award for","SW Hell, BM Weckhuysen","","",""
"719","MPIbpc News","MA Lauterbach, V Westphal, SO Rizzoli, A Di Nicola, D Kamin, R Jahn, ...","","",""
"720","MPIbpc News","CA Wurm, S Stoldt, R Schmidt, A Egner, SW Hell, S Jakobs","","",""
"721","P. Mukhopadhyay, G. Zuber, P. Wipf, DN Beratan Contribution of a Chiral Solvent Imprint of a Solute to Optical Rotation J. Fölling, V. Belov, R. Kunetsky, R. Medda, A. Schönle …","C Eggeling, M Bossi, S Hell, S Shinkai, S Totalsynthese, ...","","",""
"722","The Nobel Prize,...","EUNC Network, G Eichele, S Hell, M Stratmann, M Eigen, E Neher","","",""
"723","Innere Haarzellen–zelluläre Grundlagen der Schall-kodierung","A Meyer, T Frank, D Khimich, D Riedel, B Harke, S Hell, YM Yarin, ...","","",""
"724","Optische Nanoskopie für zelluläre Systeme","BV Partner, M Dyba, I Lein, SW Hell","","",""
"725","Inventory of Supplemental Information","S Uchida, K Hara, A Kobayashi, K Otsuki, H Yamagata, T Hobara, ...","","",""
"726","Biophotonics' 07: Lecture by Prof. Stefan Hell","S Hell","","",""
